"Count_180","idSensore","Year","Month"
0,5707,2010,4
0,5707,2010,5
7,5707,2010,6
12,5707,2010,7
1,5707,2010,8
0,5707,2010,9
0,5707,2010,10
0,5707,2011,4
2,5707,2011,5
4,5707,2011,6
2,5707,2011,7
2,5707,2011,8
1,5707,2011,9
0,5707,2011,10
0,5707,2012,4
0,5707,2012,5
3,5707,2012,6
3,5707,2012,7
3,5707,2012,8
0,5707,2012,9
0,5707,2012,10
0,5707,2013,4
0,5707,2013,5
4,5707,2013,6
8,5707,2013,7
6,5707,2013,8
1,5707,2013,9
0,5707,2013,10
0,5707,2014,4
NA,5707,2014,5
5,5707,2014,6
4,5707,2014,7
0,5707,2014,8
0,5707,2014,9
0,5707,2014,10
0,5707,2015,4
1,5707,2015,5
8,5707,2015,6
17,5707,2015,7
6,5707,2015,8
0,5707,2015,9
0,5707,2015,10
0,5707,2016,4
0,5707,2016,5
3,5707,2016,6
5,5707,2016,7
2,5707,2016,8
1,5707,2016,9
0,5707,2016,10
NA,5707,2017,4
0,5707,2017,5
5,5707,2017,6
5,5707,2017,7
6,5707,2017,8
0,5707,2017,9
0,5707,2017,10
NA,5707,2018,4
0,5707,2018,5
1,5707,2018,6
NA,5707,2018,7
4,5707,2018,8
0,5707,2018,9
0,5707,2018,10
0,5707,2019,4
0,5707,2019,5
8,5707,2019,6
6,5707,2019,7
0,5707,2019,8
0,5707,2019,9
NA,5707,2019,10
NA,5707,2020,4
0,5707,2020,5
0,5707,2020,6
3,5707,2020,7
1,5707,2020,8
0,5707,2020,9
0,5707,2020,10
NA,5707,2021,4
0,5707,2021,5
5,5707,2021,6
1,5707,2021,7
5,5707,2021,8
NA,5707,2021,9
0,5707,2021,10
0,5707,2022,4
0,5707,2022,5
7,5707,2022,6
9,5707,2022,7
3,5707,2022,8
0,5707,2022,9
0,5707,2022,10
NA,5710,2010,4
0,5710,2010,5
5,5710,2010,6
15,5710,2010,7
NA,5710,2010,8
0,5710,2010,9
0,5710,2010,10
0,5710,2011,4
NA,5710,2011,5
3,5710,2011,6
NA,5710,2011,7
NA,5710,2011,8
0,5710,2011,9
0,5710,2011,10
NA,5710,2012,4
0,5710,2012,5
3,5710,2012,6
1,5710,2012,7
NA,5710,2012,8
0,5710,2012,9
0,5710,2012,10
0,5710,2013,4
0,5710,2013,5
5,5710,2013,6
12,5710,2013,7
NA,5710,2013,8
0,5710,2013,9
0,5710,2013,10
0,5710,2014,4
NA,5710,2014,5
6,5710,2014,6
0,5710,2014,7
0,5710,2014,8
0,5710,2014,9
0,5710,2014,10
0,5710,2015,4
0,5710,2015,5
3,5710,2015,6
6,5710,2015,7
2,5710,2015,8
0,5710,2015,9
0,5710,2015,10
0,5710,2016,4
0,5710,2016,5
3,5710,2016,6
3,5710,2016,7
0,5710,2016,8
0,5710,2016,9
0,5710,2016,10
0,5710,2017,4
NA,5710,2017,5
2,5710,2017,6
0,5710,2017,7
4,5710,2017,8
0,5710,2017,9
NA,5710,2017,10
0,5710,2018,4
0,5710,2018,5
0,5710,2018,6
2,5710,2018,7
1,5710,2018,8
0,5710,2018,9
NA,5710,2018,10
0,5710,2019,4
0,5710,2019,5
6,5710,2019,6
4,5710,2019,7
0,5710,2019,8
0,5710,2019,9
NA,5710,2019,10
0,5710,2020,4
0,5710,2020,5
0,5710,2020,6
NA,5710,2020,7
0,5710,2020,8
1,5710,2020,9
0,5710,2020,10
0,5710,2021,4
0,5710,2021,5
1,5710,2021,6
0,5710,2021,7
5,5710,2021,8
NA,5710,2021,9
0,5710,2021,10
0,5710,2022,4
0,5710,2022,5
3,5710,2022,6
1,5710,2022,7
0,5710,2022,8
0,5710,2022,9
0,5710,2022,10
NA,5717,2010,4
0,5717,2010,5
4,5717,2010,6
6,5717,2010,7
0,5717,2010,8
0,5717,2010,9
0,5717,2010,10
0,5717,2011,4
2,5717,2011,5
2,5717,2011,6
0,5717,2011,7
1,5717,2011,8
0,5717,2011,9
0,5717,2011,10
0,5717,2012,4
1,5717,2012,5
2,5717,2012,6
2,5717,2012,7
4,5717,2012,8
0,5717,2012,9
0,5717,2012,10
NA,5717,2013,4
0,5717,2013,5
1,5717,2013,6
3,5717,2013,7
1,5717,2013,8
0,5717,2013,9
0,5717,2013,10
0,5717,2014,4
0,5717,2014,5
5,5717,2014,6
0,5717,2014,7
NA,5717,2014,8
0,5717,2014,9
0,5717,2014,10
0,5717,2015,4
NA,5717,2015,5
3,5717,2015,6
1,5717,2015,7
1,5717,2015,8
0,5717,2015,9
0,5717,2015,10
0,5717,2016,4
NA,5717,2016,5
NA,5717,2016,6
3,5717,2016,7
0,5717,2016,8
0,5717,2016,9
0,5717,2016,10
0,5717,2017,4
0,5717,2017,5
1,5717,2017,6
0,5717,2017,7
0,5717,2017,8
0,5717,2017,9
NA,5717,2017,10
0,5717,2018,4
0,5717,2018,5
1,5717,2018,6
0,5717,2018,7
1,5717,2018,8
0,5717,2018,9
0,5717,2018,10
0,5717,2019,4
0,5717,2019,5
3,5717,2019,6
4,5717,2019,7
0,5717,2019,8
0,5717,2019,9
0,5717,2019,10
0,5717,2020,4
0,5717,2020,5
0,5717,2020,6
0,5717,2020,7
0,5717,2020,8
0,5717,2020,9
0,5717,2020,10
0,5717,2021,4
0,5717,2021,5
2,5717,2021,6
0,5717,2021,7
3,5717,2021,8
0,5717,2021,9
0,5717,2021,10
0,5717,2022,4
0,5717,2022,5
NA,5717,2022,6
0,5717,2022,7
0,5717,2022,8
0,5717,2022,9
0,5717,2022,10
0,5718,2010,4
0,5718,2010,5
1,5718,2010,6
4,5718,2010,7
0,5718,2010,8
0,5718,2010,9
0,5718,2010,10
0,5718,2011,4
2,5718,2011,5
1,5718,2011,6
0,5718,2011,7
2,5718,2011,8
0,5718,2011,9
0,5718,2011,10
0,5718,2012,4
0,5718,2012,5
1,5718,2012,6
0,5718,2012,7
1,5718,2012,8
0,5718,2012,9
0,5718,2012,10
0,5718,2013,4
0,5718,2013,5
0,5718,2013,6
3,5718,2013,7
1,5718,2013,8
0,5718,2013,9
0,5718,2013,10
0,5718,2014,4
0,5718,2014,5
NA,5718,2014,6
0,5718,2014,7
0,5718,2014,8
0,5718,2014,9
0,5718,2014,10
0,5718,2015,4
0,5718,2015,5
3,5718,2015,6
9,5718,2015,7
4,5718,2015,8
0,5718,2015,9
0,5718,2015,10
0,5718,2016,4
NA,5718,2016,5
3,5718,2016,6
3,5718,2016,7
0,5718,2016,8
1,5718,2016,9
0,5718,2016,10
0,5718,2017,4
0,5718,2017,5
1,5718,2017,6
0,5718,2017,7
4,5718,2017,8
0,5718,2017,9
0,5718,2017,10
0,5718,2018,4
0,5718,2018,5
0,5718,2018,6
0,5718,2018,7
NA,5718,2018,8
NA,5718,2018,9
0,5718,2018,10
0,5718,2019,4
0,5718,2019,5
NA,5718,2019,6
1,5718,2019,7
0,5718,2019,8
0,5718,2019,9
0,5718,2019,10
0,5718,2020,4
0,5718,2020,5
0,5718,2020,6
0,5718,2020,7
0,5718,2020,8
0,5718,2020,9
0,5718,2020,10
0,5718,2021,4
0,5718,2021,5
1,5718,2021,6
0,5718,2021,7
0,5718,2021,8
0,5718,2021,9
0,5718,2021,10
0,5718,2022,4
0,5718,2022,5
1,5718,2022,6
0,5718,2022,7
0,5718,2022,8
0,5718,2022,9
0,5718,2022,10
0,5719,2010,4
0,5719,2010,5
7,5719,2010,6
11,5719,2010,7
0,5719,2010,8
0,5719,2010,9
0,5719,2010,10
0,5719,2011,4
2,5719,2011,5
4,5719,2011,6
0,5719,2011,7
7,5719,2011,8
1,5719,2011,9
0,5719,2011,10
0,5719,2012,4
0,5719,2012,5
5,5719,2012,6
3,5719,2012,7
9,5719,2012,8
2,5719,2012,9
0,5719,2012,10
0,5719,2013,4
0,5719,2013,5
2,5719,2013,6
7,5719,2013,7
6,5719,2013,8
0,5719,2013,9
0,5719,2013,10
0,5719,2014,4
0,5719,2014,5
6,5719,2014,6
4,5719,2014,7
0,5719,2014,8
0,5719,2014,9
NA,5719,2014,10
0,5719,2015,4
0,5719,2015,5
2,5719,2015,6
9,5719,2015,7
2,5719,2015,8
0,5719,2015,9
NA,5719,2015,10
0,5719,2016,4
0,5719,2016,5
NA,5719,2016,6
7,5719,2016,7
6,5719,2016,8
5,5719,2016,9
0,5719,2016,10
0,5719,2017,4
1,5719,2017,5
9,5719,2017,6
7,5719,2017,7
11,5719,2017,8
0,5719,2017,9
NA,5719,2017,10
0,5719,2018,4
0,5719,2018,5
5,5719,2018,6
9,5719,2018,7
10,5719,2018,8
2,5719,2018,9
0,5719,2018,10
0,5719,2019,4
0,5719,2019,5
9,5719,2019,6
11,5719,2019,7
2,5719,2019,8
0,5719,2019,9
0,5719,2019,10
0,5719,2020,4
0,5719,2020,5
0,5719,2020,6
3,5719,2020,7
1,5719,2020,8
0,5719,2020,9
NA,5719,2020,10
NA,5719,2021,4
0,5719,2021,5
NA,5719,2021,6
3,5719,2021,7
6,5719,2021,8
4,5719,2021,9
0,5719,2021,10
0,5719,2022,4
0,5719,2022,5
5,5719,2022,6
9,5719,2022,7
4,5719,2022,8
0,5719,2022,9
0,5719,2022,10
0,5721,2010,4
0,5721,2010,5
1,5721,2010,6
1,5721,2010,7
0,5721,2010,8
0,5721,2010,9
0,5721,2010,10
0,5721,2011,4
NA,5721,2011,5
0,5721,2011,6
0,5721,2011,7
0,5721,2011,8
0,5721,2011,9
0,5721,2011,10
0,5721,2012,4
1,5721,2012,5
0,5721,2012,6
0,5721,2012,7
0,5721,2012,8
0,5721,2012,9
0,5721,2012,10
0,5721,2013,4
0,5721,2013,5
0,5721,2013,6
1,5721,2013,7
1,5721,2013,8
0,5721,2013,9
0,5721,2013,10
0,5721,2014,4
0,5721,2014,5
5,5721,2014,6
0,5721,2014,7
0,5721,2014,8
0,5721,2014,9
0,5721,2014,10
0,5721,2015,4
0,5721,2015,5
1,5721,2015,6
5,5721,2015,7
2,5721,2015,8
0,5721,2015,9
0,5721,2015,10
0,5721,2016,4
0,5721,2016,5
1,5721,2016,6
3,5721,2016,7
0,5721,2016,8
0,5721,2016,9
0,5721,2016,10
0,5721,2017,4
0,5721,2017,5
1,5721,2017,6
0,5721,2017,7
0,5721,2017,8
0,5721,2017,9
0,5721,2017,10
0,5721,2018,4
NA,5721,2018,5
NA,5721,2018,6
2,5721,2018,7
1,5721,2018,8
0,5721,2018,9
0,5721,2018,10
0,5721,2019,4
0,5721,2019,5
7,5721,2019,6
9,5721,2019,7
1,5721,2019,8
0,5721,2019,9
0,5721,2019,10
0,5721,2020,4
0,5721,2020,5
1,5721,2020,6
0,5721,2020,7
1,5721,2020,8
0,5721,2020,9
0,5721,2020,10
0,5721,2021,4
0,5721,2021,5
0,5721,2021,6
0,5721,2021,7
0,5721,2021,8
0,5721,2021,9
0,5721,2021,10
0,5721,2022,4
0,5721,2022,5
0,5721,2022,6
1,5721,2022,7
0,5721,2022,8
0,5721,2022,9
0,5721,2022,10
0,5725,2010,4
0,5725,2010,5
0,5725,2010,6
NA,5725,2010,7
0,5725,2010,8
0,5725,2010,9
0,5725,2010,10
0,5725,2011,4
1,5725,2011,5
1,5725,2011,6
0,5725,2011,7
2,5725,2011,8
0,5725,2011,9
0,5725,2011,10
0,5725,2012,4
0,5725,2012,5
1,5725,2012,6
0,5725,2012,7
0,5725,2012,8
0,5725,2012,9
0,5725,2012,10
0,5725,2013,4
0,5725,2013,5
0,5725,2013,6
0,5725,2013,7
0,5725,2013,8
0,5725,2013,9
0,5725,2013,10
0,5725,2014,4
0,5725,2014,5
4,5725,2014,6
0,5725,2014,7
0,5725,2014,8
0,5725,2014,9
0,5725,2014,10
0,5725,2015,4
0,5725,2015,5
1,5725,2015,6
NA,5725,2015,7
1,5725,2015,8
0,5725,2015,9
0,5725,2015,10
NA,5725,2016,4
NA,5725,2016,5
0,5725,2016,6
1,5725,2016,7
0,5725,2016,8
0,5725,2016,9
0,5725,2016,10
0,5725,2017,4
0,5725,2017,5
NA,5725,2017,6
NA,5725,2017,7
0,5725,2017,8
0,5725,2017,9
0,5725,2017,10
0,5725,2018,4
0,5725,2018,5
0,5725,2018,6
0,5725,2018,7
1,5725,2018,8
NA,5725,2018,9
0,5725,2018,10
0,5725,2019,4
0,5725,2019,5
4,5725,2019,6
2,5725,2019,7
0,5725,2019,8
0,5725,2019,9
0,5725,2019,10
0,5725,2020,4
0,5725,2020,5
0,5725,2020,6
0,5725,2020,7
0,5725,2020,8
0,5725,2020,9
0,5725,2020,10
0,5725,2021,4
0,5725,2021,5
1,5725,2021,6
0,5725,2021,7
1,5725,2021,8
0,5725,2021,9
0,5725,2021,10
0,5725,2022,4
0,5725,2022,5
4,5725,2022,6
1,5725,2022,7
0,5725,2022,8
0,5725,2022,9
0,5725,2022,10
0,5730,2010,4
0,5730,2010,5
4,5730,2010,6
14,5730,2010,7
1,5730,2010,8
0,5730,2010,9
0,5730,2010,10
0,5730,2011,4
2,5730,2011,5
4,5730,2011,6
NA,5730,2011,7
6,5730,2011,8
2,5730,2011,9
1,5730,2011,10
0,5730,2012,4
1,5730,2012,5
6,5730,2012,6
10,5730,2012,7
9,5730,2012,8
3,5730,2012,9
0,5730,2012,10
0,5730,2013,4
0,5730,2013,5
4,5730,2013,6
18,5730,2013,7
4,5730,2013,8
2,5730,2013,9
0,5730,2013,10
0,5730,2014,4
0,5730,2014,5
7,5730,2014,6
4,5730,2014,7
0,5730,2014,8
0,5730,2014,9
0,5730,2014,10
0,5730,2015,4
1,5730,2015,5
10,5730,2015,6
22,5730,2015,7
10,5730,2015,8
0,5730,2015,9
0,5730,2015,10
0,5730,2016,4
0,5730,2016,5
3,5730,2016,6
9,5730,2016,7
3,5730,2016,8
3,5730,2016,9
0,5730,2016,10
0,5730,2017,4
2,5730,2017,5
10,5730,2017,6
8,5730,2017,7
8,5730,2017,8
0,5730,2017,9
0,5730,2017,10
0,5730,2018,4
0,5730,2018,5
5,5730,2018,6
12,5730,2018,7
7,5730,2018,8
3,5730,2018,9
0,5730,2018,10
0,5730,2019,4
0,5730,2019,5
9,5730,2019,6
14,5730,2019,7
1,5730,2019,8
1,5730,2019,9
0,5730,2019,10
0,5730,2020,4
0,5730,2020,5
1,5730,2020,6
11,5730,2020,7
5,5730,2020,8
2,5730,2020,9
0,5730,2020,10
0,5730,2021,4
0,5730,2021,5
2,5730,2021,6
3,5730,2021,7
1,5730,2021,8
0,5730,2021,9
0,5730,2021,10
0,5730,2022,4
1,5730,2022,5
2,5730,2022,6
8,5730,2022,7
2,5730,2022,8
0,5730,2022,9
0,5730,2022,10
0,5732,2010,4
2,5732,2010,5
7,5732,2010,6
13,5732,2010,7
2,5732,2010,8
0,5732,2010,9
0,5732,2010,10
0,5732,2011,4
0,5732,2011,5
2,5732,2011,6
0,5732,2011,7
0,5732,2011,8
0,5732,2011,9
NA,5732,2011,10
0,5732,2012,4
0,5732,2012,5
0,5732,2012,6
3,5732,2012,7
2,5732,2012,8
0,5732,2012,9
0,5732,2012,10
0,5732,2013,4
0,5732,2013,5
1,5732,2013,6
7,5732,2013,7
6,5732,2013,8
1,5732,2013,9
NA,5732,2013,10
0,5732,2014,4
0,5732,2014,5
3,5732,2014,6
2,5732,2014,7
0,5732,2014,8
0,5732,2014,9
0,5732,2014,10
0,5732,2015,4
1,5732,2015,5
3,5732,2015,6
NA,5732,2015,7
1,5732,2015,8
0,5732,2015,9
0,5732,2015,10
0,5732,2016,4
0,5732,2016,5
2,5732,2016,6
3,5732,2016,7
0,5732,2016,8
0,5732,2016,9
NA,5732,2016,10
0,5732,2017,4
1,5732,2017,5
4,5732,2017,6
3,5732,2017,7
0,5732,2017,8
0,5732,2017,9
0,5732,2017,10
0,5732,2018,4
0,5732,2018,5
1,5732,2018,6
9,5732,2018,7
1,5732,2018,8
0,5732,2018,9
0,5732,2018,10
0,5732,2019,4
0,5732,2019,5
1,5732,2019,6
6,5732,2019,7
0,5732,2019,8
0,5732,2019,9
0,5732,2019,10
0,5732,2020,4
NA,5732,2020,5
0,5732,2020,6
1,5732,2020,7
0,5732,2020,8
0,5732,2020,9
NA,5732,2020,10
0,5732,2021,4
0,5732,2021,5
0,5732,2021,6
1,5732,2021,7
0,5732,2021,8
0,5732,2021,9
0,5732,2021,10
NA,5732,2022,4
0,5732,2022,5
0,5732,2022,6
6,5732,2022,7
1,5732,2022,8
0,5732,2022,9
0,5732,2022,10
0,5735,2010,4
NA,5735,2010,5
NA,5735,2010,6
8,5735,2010,7
1,5735,2010,8
0,5735,2010,9
NA,5735,2010,10
0,5735,2011,4
0,5735,2011,5
1,5735,2011,6
0,5735,2011,7
0,5735,2011,8
0,5735,2011,9
0,5735,2011,10
0,5735,2012,4
0,5735,2012,5
0,5735,2012,6
4,5735,2012,7
3,5735,2012,8
0,5735,2012,9
0,5735,2012,10
0,5735,2013,4
NA,5735,2013,5
0,5735,2013,6
0,5735,2013,7
0,5735,2013,8
0,5735,2013,9
0,5735,2013,10
0,5735,2014,4
0,5735,2014,5
NA,5735,2014,6
0,5735,2014,7
0,5735,2014,8
0,5735,2014,9
0,5735,2014,10
0,5735,2015,4
0,5735,2015,5
5,5735,2015,6
14,5735,2015,7
5,5735,2015,8
0,5735,2015,9
0,5735,2015,10
NA,5735,2016,4
0,5735,2016,5
3,5735,2016,6
5,5735,2016,7
NA,5735,2016,8
5,5735,2016,9
NA,5735,2016,10
0,5735,2017,4
2,5735,2017,5
7,5735,2017,6
4,5735,2017,7
3,5735,2017,8
0,5735,2017,9
0,5735,2017,10
0,5735,2018,4
0,5735,2018,5
0,5735,2018,6
1,5735,2018,7
1,5735,2018,8
0,5735,2018,9
0,5735,2018,10
0,5735,2019,4
NA,5735,2019,5
5,5735,2019,6
6,5735,2019,7
1,5735,2019,8
0,5735,2019,9
0,5735,2019,10
0,5735,2020,4
0,5735,2020,5
0,5735,2020,6
2,5735,2020,7
0,5735,2020,8
0,5735,2020,9
0,5735,2020,10
0,5735,2021,4
0,5735,2021,5
2,5735,2021,6
0,5735,2021,7
0,5735,2021,8
0,5735,2021,9
0,5735,2021,10
NA,5735,2022,4
NA,5735,2022,5
NA,5735,2022,6
NA,5735,2022,7
NA,5735,2022,8
NA,5735,2022,9
NA,5735,2022,10
0,5738,2010,4
0,5738,2010,5
4,5738,2010,6
NA,5738,2010,7
NA,5738,2010,8
0,5738,2010,9
0,5738,2010,10
NA,5738,2011,4
NA,5738,2011,5
0,5738,2011,6
0,5738,2011,7
4,5738,2011,8
0,5738,2011,9
0,5738,2011,10
0,5738,2012,4
NA,5738,2012,5
0,5738,2012,6
3,5738,2012,7
3,5738,2012,8
0,5738,2012,9
0,5738,2012,10
NA,5738,2013,4
0,5738,2013,5
4,5738,2013,6
14,5738,2013,7
4,5738,2013,8
0,5738,2013,9
0,5738,2013,10
0,5738,2014,4
0,5738,2014,5
4,5738,2014,6
NA,5738,2014,7
0,5738,2014,8
1,5738,2014,9
0,5738,2014,10
NA,5738,2015,4
0,5738,2015,5
NA,5738,2015,6
8,5738,2015,7
3,5738,2015,8
0,5738,2015,9
0,5738,2015,10
0,5738,2016,4
NA,5738,2016,5
NA,5738,2016,6
9,5738,2016,7
0,5738,2016,8
2,5738,2016,9
0,5738,2016,10
0,5738,2017,4
6,5738,2017,5
10,5738,2017,6
6,5738,2017,7
2,5738,2017,8
0,5738,2017,9
0,5738,2017,10
NA,5738,2018,4
0,5738,2018,5
0,5738,2018,6
1,5738,2018,7
1,5738,2018,8
0,5738,2018,9
0,5738,2018,10
0,5738,2019,4
0,5738,2019,5
6,5738,2019,6
3,5738,2019,7
NA,5738,2019,8
0,5738,2019,9
0,5738,2019,10
0,5738,2020,4
0,5738,2020,5
0,5738,2020,6
0,5738,2020,7
1,5738,2020,8
0,5738,2020,9
0,5738,2020,10
0,5738,2021,4
0,5738,2021,5
1,5738,2021,6
0,5738,2021,7
0,5738,2021,8
0,5738,2021,9
0,5738,2021,10
0,5738,2022,4
0,5738,2022,5
3,5738,2022,6
0,5738,2022,7
0,5738,2022,8
0,5738,2022,9
0,5738,2022,10
0,5739,2010,4
0,5739,2010,5
0,5739,2010,6
1,5739,2010,7
0,5739,2010,8
0,5739,2010,9
0,5739,2010,10
NA,5739,2011,4
NA,5739,2011,5
0,5739,2011,6
0,5739,2011,7
0,5739,2011,8
0,5739,2011,9
0,5739,2011,10
0,5739,2012,4
0,5739,2012,5
NA,5739,2012,6
0,5739,2012,7
0,5739,2012,8
0,5739,2012,9
0,5739,2012,10
NA,5739,2013,4
0,5739,2013,5
0,5739,2013,6
0,5739,2013,7
0,5739,2013,8
0,5739,2013,9
0,5739,2013,10
0,5739,2014,4
0,5739,2014,5
0,5739,2014,6
0,5739,2014,7
0,5739,2014,8
0,5739,2014,9
0,5739,2014,10
NA,5739,2015,4
0,5739,2015,5
0,5739,2015,6
