"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","5340","6120","6137","6302","6268","6234","6524","6245","6023","6023","5731","6239","6120","5954","5999","5968","5825","5536"
"0","Femmine","5077","5728","5715","6201","5826","5806","5902","5815","5799","5499","5525","5780","5644","5616","5475","5584","5502","5368"
"0","Totale","10417","11848","11852","12503","12094","12040","12426","12060","11822","11522","11256","12019","11764","11570","11474","11552","11327","10904"
"1","Maschi","5273","5265","5918","6109","6176","6056","5989","6192","6165","5913","5892","5754","6257","6119","5986","5955","5963","5778"
"1","Femmine","4922","4999","5531","5678","5980","5615","5603","5674","5702","5700","5450","5583","5800","5670","5670","5493","5598","5535"
"1","Totale","10195","10264","11449","11787","12156","11671","11592","11866","11867","11613","11342","11337","12057","11789","11656","11448","11561","11313"
"2","Maschi","4995","5271","5230","5940","6085","6019","5885","5850","6063","6125","5895","5950","5884","6262","6101","5973","5982","5969"
"2","Femmine","4686","4882","4950","5535","5654","5810","5385","5481","5628","5621","5672","5463","5658","5799","5670","5717","5521","5527"
"2","Totale","9681","10153","10180","11475","11739","11829","11270","11331","11691","11746","11567","11413","11542","12061","11771","11690","11503","11496"
"3","Maschi","4899","4953","5194","5263","5894","6000","5836","5774","5824","6011","6105","5958","6078","5951","6274","6063","6015","5978"
"3","Femmine","4430","4666","4831","5016","5523","5528","5644","5266","5532","5571","5576","5722","5563","5690","5804","5676","5755","5530"
"3","Totale","9329","9619","10025","10279","11417","11528","11480","11040","11356","11582","11681","11680","11641","11641","12078","11739","11770","11508"
"4","Maschi","4695","4873","4911","5288","5294","5774","5908","5732","5790","5856","5976","6140","6071","6108","6006","6272","6094","6052"
"4","Femmine","4341","4396","4603","4937","5022","5400","5398","5463","5249","5515","5554","5632","5806","5636","5710","5772","5702","5751"
"4","Totale","9036","9269","9514","10225","10316","11174","11306","11195","11039","11371","11530","11772","11877","11744","11716","12044","11796","11803"
"5","Maschi","4657","4685","4879","4958","5315","5248","5672","5805","5720","5746","5888","6046","6269","6109","6172","6053","6290","6090"
"5","Femmine","4398","4302","4370","4649","4977","4999","5253","5334","5409","5219","5520","5583","5755","5904","5691","5707","5758","5680"
"5","Totale","9055","8987","9249","9607","10292","10247","10925","11139","11129","10965","11408","11629","12024","12013","11863","11760","12048","11770"
"6","Maschi","4503","4623","4661","4980","4997","5255","5207","5590","5798","5691","5784","5933","6144","6322","6153","6199","6150","6274"
"6","Femmine","4195","4383","4261","4445","4667","4943","4952","5159","5282","5380","5222","5572","5670","5828","5940","5725","5771","5718"
"6","Totale","8698","9006","8922","9425","9664","10198","10159","10749","11080","11071","11006","11505","11814","12150","12093","11924","11921","11992"
"7","Maschi","4521","4486","4594","4693","5014","4995","5225","5193","5565","5812","5716","5826","6080","6165","6361","6165","6237","6203"
"7","Femmine","4122","4185","4374","4333","4507","4634","4944","4926","5153","5268","5355","5277","5660","5749","5869","5990","5766","5796"
"7","Totale","8643","8671","8968","9026","9521","9629","10169","10119","10718","11080","11071","11103","11740","11914","12230","12155","12003","11999"
"8","Maschi","4458","4511","4467","4650","4744","5057","5015","5236","5261","5560","5845","5787","5948","6151","6235","6387","6234","6308"
"8","Femmine","4305","4139","4141","4417","4393","4517","4610","4938","4988","5143","5267","5408","5345","5738","5805","5923","6070","5810"
"8","Totale","8763","8650","8608","9067","9137","9574","9625","10174","10249","10703","11112","11195","11293","11889","12040","12310","12304","12118"
"9","Maschi","4575","4488","4506","4568","4745","4804","5054","5017","5322","5333","5601","5921","5932","5996","6222","6265","6419","6273"
"9","Femmine","4290","4298","4153","4218","4495","4439","4506","4589","5000","5044","5162","5300","5519","5446","5800","5843","6010","6142"
"9","Totale","8865","8786","8659","8786","9240","9243","9560","9606","10322","10377","10763","11221","11451","11442","12022","12108","12429","12415"
"10","Maschi","4396","4549","4507","4591","4672","4782","4805","5067","5083","5379","5398","5682","6058","5977","6027","6247","6308","6436"
"10","Femmine","4243","4316","4305","4229","4309","4525","4452","4539","4653","5052","5115","5205","5377","5591","5503","5848","5927","6055"
"10","Totale","8639","8865","8812","8820","8981","9307","9257","9606","9736","10431","10513","10887","11435","11568","11530","12095","12235","12491"
"11","Maschi","4440","4381","4555","4584","4693","4703","4799","4818","5152","5137","5465","5493","5801","6106","6042","6078","6316","6363"
"11","Femmine","4291","4227","4316","4327","4321","4315","4515","4448","4631","4699","5110","5175","5306","5441","5640","5565","5928","5964"
"11","Totale","8731","8608","8871","8911","9014","9018","9314","9266","9783","9836","10575","10668","11107","11547","11682","11643","12244","12327"
"12","Maschi","4397","4410","4340","4613","4678","4722","4720","4792","4920","5240","5226","5554","5588","5850","6159","6060","6120","6362"
"12","Femmine","4181","4294","4208","4356","4415","4370","4316","4533","4549","4693","4765","5161","5273","5372","5501","5683","5610","5971"
"12","Totale","8578","8704","8548","8969","9093","9092","9036","9325","9469","9933","9991","10715","10861","11222","11660","11743","11730","12333"
"13","Maschi","4347","4376","4348","4375","4714","4728","4740","4742","4920","5008","5342","5342","5716","5669","5910","6172","6149","6151"
"13","Femmine","4076","4166","4219","4250","4442","4430","4380","4336","4604","4624","4791","4808","5246","5341","5429","5543","5759","5652"
"13","Totale","8423","8542","8567","8625","9156","9158","9120","9078","9524","9632","10133","10150","10962","11010","11339","11715","11908","11803"
"14","Maschi","3977","4341","4340","4371","4450","4772","4773","4759","4843","5017","5101","5400","5490","5791","5744","5926","6219","6204"
"14","Femmine","3821","4087","4124","4255","4338","4487","4423","4412","4405","4688","4705","4858","4907","5374","5396","5462","5628","5843"
"14","Totale","7798","8428","8464","8626","8788","9259","9196","9171","9248","9705","9806","10258","10397","11165","11140","11388","11847","12047"
"15","Maschi","4171","3957","4308","4394","4470","4509","4788","4798","4868","4916","5117","5181","5542","5640","5879","5793","5976","6279"
"15","Femmine","3965","3821","4046","4194","4331","4362","4486","4467","4492","4473","4770","4763","4940","5022","5435","5438","5540","5699"
"15","Totale","8136","7778","8354","8588","8801","8871","9274","9265","9360","9389","9887","9944","10482","10662","11314","11231","11516","11978"
"16","Maschi","4235","4141","3915","4368","4463","4489","4499","4793","4920","4969","4992","5228","5340","5624","5747","5923","5862","6053"
"16","Femmine","4041","3954","3788","4100","4257","4358","4365","4486","4547","4567","4519","4792","4895","5042","5089","5476","5518","5597"
"16","Totale","8276","8095","7703","8468","8720","8847","8864","9279","9467","9536","9511","10020","10235","10666","10836","11399","11380","11650"
"17","Maschi","4328","4203","4065","3990","4498","4514","4480","4490","4907","5018","5097","5144","5403","5426","5726","5808","6036","5956"
"17","Femmine","4068","4001","3915","3836","4222","4292","4362","4386","4590","4604","4664","4592","4893","4963","5106","5119","5588","5569"
"17","Totale","8396","8204","7980","7826","8720","8806","8842","8876","9497","9622","9761","9736","10296","10389","10832","10927","11624","11525"
"18","Maschi","4554","4316","4134","4143","4162","4649","4533","4519","4751","5063","5183","5268","5326","5513","5510","5871","6171","6192"
"18","Femmine","4258","4078","3927","3977","3987","4322","4290","4363","4502","4681","4710","4758","4697","4972","5051","5170","5242","5699"
"18","Totale","8812","8394","8061","8120","8149","8971","8823","8882","9253","9744","9893","10026","10023","10485","10561","11041","11413","11891"
"19","Maschi","4952","4560","4275","4206","4351","4238","4739","4651","4850","5078","5343","5383","5534","5536","5708","5829","6543","6428"
"19","Femmine","4758","4342","4070","3987","4135","4109","4364","4308","4487","4646","4850","4831","4987","4890","5161","5162","5379","5429"
"19","Totale","9710","8902","8345","8193","8486","8347","9103","8959","9337","9724","10193","10214","10521","10426","10869","10991","11922","11857"
"20","Maschi","5147","4917","4512","4430","4360","4432","4344","4841","4983","5159","5350","5577","5741","5739","5756","5970","6328","6815"
"20","Femmine","4980","4792","4377","4164","4123","4242","4181","4459","4528","4694","4879","5042","5117","5163","5067","5325","5415","5640"
"20","Totale","10127","9709","8889","8594","8483","8674","8525","9300","9511","9853","10229","10619","10858","10902","10823","11295","11743","12455"
"21","Maschi","5491","5113","4851","4687","4514","4409","4544","4418","5022","5238","5391","5598","5904","5919","5892","5975","6368","6574"
"21","Femmine","5048","4969","4798","4521","4344","4249","4341","4300","4668","4772","4918","5099","5352","5379","5290","5208","5599","5614"
"21","Totale","10539","10082","9649","9208","8858","8658","8885","8718","9690","10010","10309","10697","11256","11298","11182","11183","11967","12188"
"22","Maschi","5852","5495","5063","5174","4839","4553","4461","4605","4577","5314","5545","5659","5958","6091","6088","6050","6352","6576"
"22","Femmine","5569","5097","4965","5156","4663","4474","4381","4421","4532","4943","5078","5151","5431","5578","5528","5443","5458","5847"
"22","Totale","11421","10592","10028","10330","9502","9027","8842","9026","9109","10257","10623","10810","11389","11669","11616","11493","11810","12423"
"23","Maschi","6375","5839","5490","5497","5337","4830","4610","4552","4822","4901","5676","5861","6113","6199","6253","6223","6351","6659"
"23","Femmine","6015","5676","5175","5336","5336","4798","4541","4498","4633","4858","5284","5381","5520","5713","5788","5682","5732","5755"
"23","Totale","12390","11515","10665","10833","10673","9628","9151","9050","9455","9759","10960","11242","11633","11912","12041","11905","12083","12414"
"24","Maschi","6847","6355","5900","6059","5653","5318","4869","4647","4843","5170","5312","6043","6399","6384","6430","6466","6541","6701"
"24","Femmine","6701","6105","5671","5647","5542","5417","4851","4661","4788","4990","5239","5551","5828","5858","5962","6053","6018","6134"
"24","Totale","13548","12460","11571","11706","11195","10735","9720","9308","9631","10160","10551","11594","12227","12242","12392","12519","12559","12835"
"25","Maschi","7594","6884","6409","6601","6309","5704","5383","4979","4972","5307","5690","5746","6646","6766","6705","6720","6918","7019"
"25","Femmine","7374","6838","6142","6221","5850","5599","5482","5062","5056","5254","5472","5596","6040","6228","6207","6323","6557","6441"
"25","Totale","14968","13722","12551","12822","12159","11303","10865","10041","10028","10561","11162","11342","12686","12994","12912","13043","13475","13460"
"26","Maschi","8559","7586","6968","7376","6816","6315","5745","5459","5404","5499","5890","6108","6410","7094","7148","7088","7124","7441"
"26","Femmine","8467","7559","6898","6681","6546","5944","5648","5625","5603","5610","5760","5886","6202","6506","6656","6673","6847","7057"
"26","Totale","17026","15145","13866","14057","13362","12259","11393","11084","11007","11109","11650","11994","12612","13600","13804","13761","13971","14498"
"27","Maschi","9585","8532","7636","7976","7595","6741","6292","5849","5875","6009","6200","6405","6873","6927","7555","7592","7638","7722"
"27","Femmine","9309","8617","7651","7594","6967","6562","6018","5871","6078","6135","6156","6188","6455","6701","6994","7244","7297","7466"
"27","Totale","18894","17149","15287","15570","14562","13303","12310","11720","11953","12144","12356","12593","13328","13628","14549","14836","14935","15188"
"28","Maschi","10182","9542","8602","8448","8090","7498","6718","6270","6197","6514","6747","6818","7165","7478","7398","8049","8110","8273"
"28","Femmine","9768","9398","8708","8182","7882","7008","6593","6106","6339","6661","6803","6567","6791","6987","7163","7487","7922","7960"
"28","Totale","19950","18940","17310","16630","15972","14506","13311","12376","12536","13175","13550","13385","13956","14465","14561","15536","16032","16233"
"29","Maschi","10373","10205","9559","9452","8618","7890","7474","6668","6543","6690","7211","7309","7667","7704","7963","7843","8572","8681"
"29","Femmine","10315","9904","9507","9262","8377","7822","7063","6677","6518","6958","7260","7221","7132","7316","7414","7641","8143","8504"
"29","Totale","20688","20109","19066","18714","16995","15712","14537","13345","13061","13648","14471","14530","14799","15020","15377","15484","16715","17185"
"30","Maschi","10840","10346","10230","10333","9541","8484","7733","7262","6934","7057","7374","7745","8038","8226","8187","8403","8416","9119"
"30","Femmine","10629","10464","10033","10175","9437","8334","7852","7084","7047","7056","7557","7669","7767","7693","7663","7879","8176","8635"
"30","Totale","21469","20810","20263","20508","18978","16818","15585","14346","13981","14113","14931","15414","15805","15919","15850","16282","16592","17754"
"31","Maschi","10727","10814","10272","10937","10425","9430","8357","7647","7497","7385","7610","7956","8470","8505","8649","8632","8922","8935"
"31","Femmine","10469","10688","10439","10486","10343","9350","8306","7859","7417","7523","7526","7878","8190","8201","8124","8142","8367","8604"
"31","Totale","21196","21502","20711","21423","20768","18780","16663","15506","14914","14908","15136","15834","16660","16706","16773","16774","17289","17539"
"32","Maschi","11082","10635","10771","10819","10993","10303","9296","8170","7868","7832","7866","8073","8679","8942","8910","8960","9071","9298"
"32","Femmine","10754","10560","10804","10959","10646","10240","9295","8319","8124","7831","7994","7811","8388","8639","8485","8435","8648","8748"
"32","Totale","21836","21195","21575","21778","21639","20543","18591","16489","15992","15663","15860","15884","17067","17581","17395","17395","17719","18046"
"33","Maschi","10858","10996","10511","11304","10940","10703","10101","9182","8309","8099","8283","8270","8677","9097","9264","9192","9381","9445"
"33","Femmine","10515","10828","10505","11238","11134","10530","10158","9273","8566","8454","8201","8269","8196","8714","8922","8851","8806","8930"
"33","Totale","21373","21824","21016","22542","22074","21233","20259","18455","16875","16553","16484","16539","16873","17811","18186","18043","18187","18375"
"34","Maschi","10763","10732","10837","10960","11421","10681","10581","9989","9252","8566","8545","8642","8774","9213","9435","9526","9488","9678"
"34","Femmine","10316","10499","10747","10880","11375","10983","10453","10061","9423","8905","8806","8400","8615","8546","8963","9256","9191","9130"
"34","Totale","21079","21231","21584","21840","22796","21664","21034","20050","18675","17471","17351","17042","17389","17759","18398","18782","18679","18808"
"35","Maschi","11060","10686","10584","11290","10984","11099","10468","10437","9990","9379","8874","8877","9132","9226","9497","9703","9773","9731"
"35","Femmine","10733","10330","10492","11104","10920","11260","10836","10451","10252","9679","9202","9020","8741","8905","8730","9207","9534","9386"
"35","Totale","21793","21016","21076","22394","21904","22359","21304","20888","20242","19058","18076","17897","17873","18131","18227","18910","19307","19117"
"36","Maschi","10940","10967","10586","10957","11326","10803","10931","10247","10439","10080","9591","9109","9284","9468","9474","9640","9919","10004"
"36","Femmine","10846","10697","10340","10780","11150","10784","11116","10749","10582","10437","9943","9355","9370","9036","9107","8914","9422","9714"
"36","Totale","21786","21664","20926","21737","22476","21587","22047","20996","21021","20517","19534","18464","18654","18504","18581","18554","19341","19718"
"37","Maschi","10763","10825","10834","10906","10993","11091","10647","10734","10224","10527","10313","9797","9599","9662","9682","9632","9843","10110"
"37","Femmine","10587","10807","10716","10729","10907","10972","10726","10979","10831","10707","10646","10096","9635","9534","9204","9250","9062","9590"
"37","Totale","21350","21632","21550","21635","21900","22063","21373","21713","21055","21234","20959","19893","19234","19196","18886","18882","18905","19700"
"38","Maschi","9998","10663","10766","11142","10849","10847","10872","10382","10761","10333","10730","10521","10139","9960","9859","9830","9733","9957"
"38","Femmine","10103","10512","10767","11030","10751","10800","10863","10667","11057","11032","11003","10766","10339","9803","9694","9307","9385","9207"
"38","Totale","20101","21175","21533","22172","21600","21647","21735","21049","21818","21365","21733","21287","20478","19763","19553","19137","19118","19164"
"39","Maschi","9392","9839","10602","11061","11121","10700","10641","10735","10367","10819","10449","10859","10867","10296","10100","10004","9956","9845"
"39","Femmine","9711","10073","10538","10969","10999","10668","10737","10760","10763","11159","11180","11072","11028","10470","9914","9792","9463","9484"
"39","Totale","19103","19912","21140","22030","22120","21368","21378","21495","21130","21978","21629","21931","21895","20766","20014","19796","19419","19329"
"40","Maschi","9343","9290","9791","10859","10996","10930","10545","10486","10738","10468","10961","10611","11146","11010","10477","10211","10095","10042"
"40","Femmine","9383","9655","10064","10802","10973","10942","10623","10675","10863","10923","11322","11286","11231","11132","10557","10001","9886","9567"
"40","Totale","18726","18945","19855","21661","21969","21872","21168","21161","21601","21391","22283","21897","22377","22142","21034","20212","19981","19609"
"41","Maschi","8887","9251","9223","9986","10841","10847","10831","10372","10515","10760","10637","11122","10915","11267","11108","10604","10328","10211"
"41","Femmine","9004","9353","9645","10357","10844","10895","10864","10625","10785","11016","11081","11393","11494","11331","11235","10584","10101","10006"
"41","Totale","17891","18604","18868","20343","21685","21742","21695","20997","21300","21776","21718","22515","22409","22598","22343","21188","20429","20217"
"42","Maschi","8467","8756","9177","9426","9956","10696","10662","10737","10352","10615","10909","10742","11382","11020","11384","11199","10714","10421"
"42","Femmine","8807","8951","9348","9858","10431","10815","10848","10831","10711","10900","11170","11161","11598","11588","11416","11296","10679","10190"
"42","Totale","17274","17707","18525","19284","20387","21511","21510","21568","21063","21515","22079","21903","22980","22608","22800","22495","21393","20611"
"43","Maschi","8318","8383","8730","9283","9426","9820","10596","10568","10724","10407","10716","11005","10997","11444","11139","11473","11291","10831"
"43","Femmine","8417","8814","8955","9619","9956","10410","10790","10827","10931","10826","11107","11267","11345","11684","11634","11451","11363","10775"
"43","Totale","16735","17197","17685","18902","19382","20230","21386","21395","21655","21233","21823","22272","22342","23128","22773","22924","22654","21606"
"44","Maschi","7968","8231","8321","8838","9263","9342","9734","10504","10567","10796","10525","10776","11204","11086","11529","11245","11538","11397"
"44","Femmine","8344","8386","8813","9165","9640","9916","10360","10725","10929","11158","11015","11144","11456","11418","11757","11697","11541","11389"
"44","Totale","16312","16617","17134","18003","18903","19258","20094","21229","21496","21954","21540","21920","22660","22504","23286","22942","23079","22786"
"45","Maschi","7900","7871","8126","8434","8781","9154","9303","9624","10501","10626","10892","10609","10974","11292","11140","11588","11317","11661"
"45","Femmine","8176","8311","8374","9035","9228","9586","9882","10325","10802","11044","11323","11094","11368","11544","11474","11795","11733","11582"
"45","Totale","16076","16182","16500","17469","18009","18740","19185","19949","21303","21670","22215","21703","22342","22836","22614","23383","23050","23243"
"46","Maschi","7374","7841","7855","8277","8398","8704","9080","9191","9611","10519","10750","10983","10810","11083","11381","11196","11689","11356"
"46","Femmine","8137","8145","8320","8576","9098","9173","9517","9832","10361","10943","11185","11380","11268","11426","11618","11525","11807","11782"
"46","Totale","15511","15986","16175","16853","17496","17877","18597","19023","19972","21462","21935","22363","22078","22509","22999","22721","23496","23138"
"47","Maschi","7456","7306","7783","7934","8254","8323","8666","8975","9186","9617","10570","10840","11188","10853","11166","11492","11250","11771"
"47","Femmine","7969","8108","8127","8499","8574","9055","9126","9473","9889","10467","11097","11233","11507","11316","11469","11692","11584","11843"
"47","Totale","15425","15414","15910","16433","16828","17378","17792","18448","19075","20084","21667","22073","22695","22169","22635","23184","22834","23614"
"48","Maschi","7138","7384","7265","7860","7915","8209","8269","8613","8977","9255","9723","10629","11028","11199","10930","11233","11554","11283"
"48","Femmine","7810","7913","8082","8299","8547","8547","9004","9118","9524","10023","10624","11117","11395","11610","11352","11456","11784","11639"
"48","Totale","14948","15297","15347","16159","16462","16756","17273","17731","18501","19278","20347","21746","22423","22809","22282","22689","23338","22922"
"49","Maschi","7078","7093","7318","7297","7845","7868","8145","8208","8558","8984","9302","9831","10755","11055","11226","10992","11298","11614"
"49","Femmine","7945","7757","7906","8157","8332","8501","8524","8964","9165","9636","10135","10698","11284","11420","11665","11364","11508","11803"
